Item Name,Cuisine,Course,Nutritional Profile,Preparation Method,Spiciness Level,Vegan/Vegetarian/Contains-Egg/Non-Veg,Allergens,Flavor Profile,Dietary Restrictions
Masala Karela Recipe,Indian,Main,"Low Carb, High Fiber",Stir-Fry,Spicy,Vegetarian,None,"Bitter, Spicy","Diabetic Friendly, Vegan"
Spicy Tomato Rice (Recipe),Indian,Main,Carbohydrate Rich,"Boiled, Stir-Fried",Spicy,Vegetarian,None,"Spicy, Tangy",Vegan
Ragi Semiya Upma Recipe,Indian,Breakfast,"High Fiber, Gluten-Free","Boiled, Stir-Fried",Mild,Vegan,None,"Nutty, Savory","Gluten-Free, Vegan"
Gongura Chicken Curry Recipe,Indian,Main,Protein Rich,"Stewed, Curried",Spicy,Non-Veg,None,"Tangy, Spicy",None
Andhra Style Alam Pachadi Recipe,Indian,Side,Vitamin C Rich,"Blended, Mixed",Mild,Vegetarian,None,"Tangy, Spicy",Vegan
Pudina Khara Pongal Recipe,Indian,Breakfast,High Protein,"Boiled, Mixed",Mild,Vegetarian,None,"Minty, Savory",None
Udupi Style Ash Gourd Coconut Curry Recipe,Indian,Main,Vitamin Rich,"Stewed, Curried",Mild,Vegetarian,None,"Creamy, Mild",Vegan
Mexican Style Black Bean Burrito Recipe,Mexican,Main,Protein Rich,"Wrapped, Baked",Spicy,Vegetarian,None,"Spicy, Savory",Vegetarian
Spicy Crunchy Masala Idli Recipe,Indian,Breakfast,"Protein Rich, Fermented","Steamed, Stir-Fried",Spicy,Vegetarian,None,"Spicy, Crunchy",None
Cauliflower Leaves Chutney (Recipe in Hindi),Indian,Side,Vitamin Rich,"Blended, Mixed",Mild,Vegetarian,None,"Mild, Herbal",Vegan
Homemade Baked Beans Recipe,Western,Main,Protein Rich,"Boiled, Stewed",Mild,Vegetarian,None,"Savory, Mild",Vegetarian
Veg Chili Cheese Burgers Recipe,Western,Main,Protein Rich,"Grilled, Assembled",Spicy,Vegetarian,None,"Spicy, Cheesy",Vegetarian
Andhra Steel Ingavu Charu Recipe,Indian,Soup,Digestive Aid,"Boiled, Mixed",Spicy,Vegetarian,None,"Tangy, Spicy",Vegan
Fish Soup Recipe - Bengali style fish in tomato gravy,Indian,Soup,Protein Rich,"Boiled, Stewed",Spicy,Non-Veg,Fish,"Tangy, Spicy",None
Saunf Aloo (Fennel Potato Curry) Recipe,Indian,Main,Carbohydrate Rich,"Stewed, Curried",Mild,Vegetarian,None,"Mild, Aromatic",Vegan
South Indian Onion Chutney Recipe,Indian,Side,Vitamin Rich,Blended,Spicy,Vegetarian,None,"Tangy, Spicy",Vegan
Hariyali Egg Curry Recipe In Coriander and Mint Gravy,Indian,Main,Protein Rich,"Stewed, Curried",Mild,Non-Veg,None,"Herbal, Mild",None
Gourd Raita Recipe,Indian,Side,"Probiotic, Low Calorie","Mixed, Chilled",Mild,Vegetarian,Dairy,"Cooling, Mild",Vegetarian
Homemade Tater Tots Recipe,Western,Side,Carbohydrate Rich,"Baked, Fried",Mild,Vegetarian,None,"Crispy, Mild",Vegetarian
Chettinad Vegetable Casserole Recipe,Indian,Main,Fiber Rich,"Boiled, Baked",Spicy,Vegetarian,None,"Spicy, Aromatic",Vegan
Garlic Amla Chutney Recipe,Indian,Side,Vitamin C Rich,Blended,Spicy,Vegetarian,None,"Tangy, Spicy",Vegan
Maharashtrian Kakdi Thalipeeth Recipe,Indian,Main,Fiber Rich,"Mixed, Pan-fried",Spicy,Vegetarian,None,"Spicy, Savory",Vegan
Homemade Healthy Subway Sandwich Recipe With Beet & Sprout,Western,Main,"Protein Rich, Fiber Rich",Assembled,Mild,Vegetarian,None,"Fresh, Savory",Vegetarian
South Indian Style Murungakkai Poriyal Recipe,Indian,Side,Vitamin Rich,Stir-Fried,Mild,Vegetarian,None,"Mild, Nutty",Vegan
Kesar Mango Lassi Recipe,Indian,Beverage,"Probiotic, Vitamin Rich",Blended,Mild,Vegetarian,Dairy,"Sweet, Creamy",Vegetarian
Chettinad Sweet Paniyaram Recipe,Indian,Dessert,Carbohydrate Rich,Batter Fried,Sweet,Vegetarian,None,"Sweet, Aromatic",Vegetarian
Mini Dal Samosa Curry / Sabzi Recipe,Indian,Main,Protein Rich,Stewed,Spicy,Vegetarian,None,"Spicy, Savory",Vegan
Spinach Garlic Bruschetta Recipe With Red Bell Pepper Sauce,Italian,Appetizer,Vitamin Rich,"Toasted, Topped",Mild,Vegetarian,None,"Garlicky, Tangy",Vegetarian
Mini Dal Mature Chat Recipe,Indian,Snack,Protein Rich,Fried,Spicy,Vegetarian,None,"Spicy, Tangy",Vegan
Asian Style Sweet & Spicy Green Beans Recipe,Asian,Side,Vitamin Rich,Stir-Fried,Spicy,Vegetarian,None,"Sweet, Spicy",Vegan
Chinese Darsaan Recipe With Ice Cream,Chinese,Dessert,Carbohydrate Rich,Deep-Fried,Sweet,Vegetarian,None,"Sweet, Crispy",Vegetarian
Sundakkai and Methi Leaves Sambar Recipe,Indian,Main,Iron Rich,Stewed,Spicy,Vegetarian,None,"Tangy, Spicy",Vegan
"Cabbage, Spinach, Pomegranate Slaw with Lemon Dressing Recipe",Fusion,Salad,Vitamin Rich,Tossed,Mild,Vegetarian,None,"Fresh, Tangy",Vegan
Matar Samosa Recipe - Green Pea Samosa,Indian,Snack,Protein Rich,Fried,Spicy,Vegetarian,None,"Spicy, Savory",Vegan
Eggless Chocolate Cupcakes With Raspberry & Cheese Frosting,Western,Dessert,Carbohydrate Rich,Baked,Sweet,Vegetarian,Dairy,"Sweet, Chocolatey",Vegan
Kerala pala pradham recipe,Indian,Dessert,Dairy Rich,"Boiled, Sweetened",Mild,Vegetarian,Dairy,"Sweet, Creamy",Vegetarian
Tindora Sambharo Recipe - Instant Tendli Pickle,Indian,Side,Vitamin Rich,Pickled,Spicy,Vegetarian,None,"Tangy, Spicy",Vegan
Chettinad Style Chicken Roast Recipe,Indian,Main,Protein Rich,Roasted,Spicy,Non-Veg,None,"Spicy, Aromatic",None
Palakottai Kujambu Recipe-Kongunad Style Jackfruit Seeds Curry,Indian,Main,Protein Rich,"Stewed, Curried",Spicy,Vegetarian,None,"Tangy, Spicy",Vegan
Baingan Bharta Recipe - Brinjal Bharta Recipe,Indian,Main,Fiber Rich,"Roasted, Mashed",Spicy,Vegetarian,None,"Smoky, Spicy",Vegan
Kesar Chai Recipe,Indian,Beverage,Antioxidant Rich,"Boiled, Infused",Spicy,Vegetarian,None,"Aromatic, Spicy",Vegan
Pacha Manga Pachadi Recipe - Tamil Nadu Raw Mango Pachadi Recipe,Indian,Side,Vitamin C Rich,"Blended, Mixed",Spicy,Vegetarian,None,"Tangy, Spicy",Vegan
Short Knot Husband Recipe - Raw Jackfruit & Black Chickpea Stir Fry,Indian,Main,"Protein Rich, Fiber Rich",Stir-Fried,Spicy,Vegetarian,None,"Spicy, Nutty",Vegan
Whole Wheat Crepe Recipe With Herbed Vegetables,Western,Main,Fiber Rich,"Grilled, Stuffed",Mild,Vegetarian,None,"Savory, Herby",Vegan
Makki and Methi Roti Recipe,Indian,Bread,Fiber Rich,"Grilled, Flatbread",Mild,Vegetarian,None,"Nutty, Savory",Vegan
Cabbage and Carrot Sambharo Recipe,Indian,Side,Vitamin Rich,Stir-Fried,Spicy,Vegetarian,None,"Tangy, Spicy",Vegan
Whole Wheat Pita Bread Recipe,Middle Eastern,Bread,Fiber Rich,Baked,Mild,Vegetarian,None,"Soft, Chewy",Vegan
Andhra Steel Tomato Knock Recipe (Tomato Chutney),Indian,Side,Vitamin Rich,"Blended, Mixed",Spicy,Vegetarian,None,"Tangy, Spicy",Vegan
Herbal Brown Rice Recipe,Indian,Main,Fiber Rich,Boiled,Mild,Vegetarian,None,"Aromatic, Nutty",Vegan
Rajasthani very roti recipe,Indian,Bread,Fiber Rich,"Grilled, Flatbread",Mild,Vegetarian,None,"Nutty, Savory",Vegan
Peerkangai Thogayal Recipe (Ridge Gourd Peel Chutney),Indian,Side,Vitamin Rich,Blended,Spicy,Vegetarian,None,"Tangy, Spicy",Vegan
Dalia Pakora Recipe,Indian,Snack,"Protein Rich, Fiber Rich",Batter Fried,Spicy,Vegetarian,None,"Spicy, Crunchy",Vegan
Paneer Tikka Saddle Roll Recipe,Indian,Appetizer,Protein Rich,"Grilled, Rolled",Mild,Vegetarian,Dairy,"Spicy, Smoky",None
Pan Fried Rice Balls Filled With Cheese Recipe,Fusion,Appetizer,"Protein Rich, Carbohydrate Rich",Pan Fried,Mild,Vegetarian,Dairy,"Savory, Cheesy",None
Spicy Seafood Stew Casserole With Tomatoes And Lime Recipe,Fusion,Main,Protein Rich,"Stewed, Casseroled",Spicy,Non-Veg,Seafood,"Tangy, Spicy",None
Spicy Chilli Garlic Noodles Recipe,Asian,Main,"Carbohydrate Rich, Protein Rich",Stir-Fried,Spicy,Vegan,None,"Spicy, Garlicky",Vegan
Chanar Dal Recipe - Bengali Steel Paneer & Potato Gravy,Indian,Main,Protein Rich,Stewed,Mild,Vegetarian,Dairy,"Mild, Creamy",None
Cheesy Garlic Broccoli Nuggets Recipe,Western,Appetizer,Protein Rich,Baked,Mild,Vegetarian,Dairy,"Cheesy, Garlicky",Vegetarian
Bengali radish potato vegetable recipe,Indian,Main,Vitamin Rich,Stir-Fried,Mild,Vegetarian,None,"Mild, Aromatic",Vegan
Beetroot Sambar Recipe,Indian,Main,Iron Rich,"Boiled, Stewed",Spicy,Vegetarian,None,"Tangy, Spicy",Vegan
Kaddu Palak Roti Recipe (Pumpkin Spinach Flat Bread),Indian,Bread,Vitamin Rich,Pan-fried,Mild,Vegetarian,None,"Nutty, Savory",Vegan
Iranian Baida Curry Recipe,Iranian,Main,Protein Rich,"Stewed, Curry",Spicy,Non-Veg,None,"Spicy, Aromatic",None
Vegan Chickpea Omelette Recipe (Spiced Chickpea Flour Pancakes),Vegan,Breakfast,"Protein Rich, Gluten-Free",Pan-fried,Spicy,Vegan,None,"Spicy, Savory","Vegan, Gluten-Free"
Peanut Pudding Recipe - Salt Pudding / Firm Mod Modak,Indian,Dessert,Protein Rich,"Boiled, Sweetened",Mild,Vegetarian,Peanut,"Sweet, Nutty",None
Singapore Style Chicken Layered Fried Rice Recipe,Asian,Main,Protein Rich,Stir-Fried,Spicy,Non-Veg,None,"Spicy, Savory",None
Tofu Pulao Recipe,Asian,Main,"Protein Rich, Fiber Rich",Stir-Fried,Mild,Vegan,None,"Savory, Nutty",Vegan
Masala Sandwich Recipe With Rocket Leaves,Fusion,Snack,"Protein Rich, Fiber Rich",Assembled,Mild,Vegetarian,None,"Spicy, Fresh",Vegetarian
Tomato Relish Recipe,Western,Side,Vitamin Rich,Mixed,Mild,Vegetarian,None,"Tangy, Sweet",Vegan
Dubuk Vade Recipe - Khandeshi Gram Flour Dumpling Curry,Indian,Main,Protein Rich,"Fried, Curry",Spicy,Vegetarian,None,"Spicy, Savory",Vegan
Radish Soup Recipe,Asian,Soup,Vitamin Rich,"Boiled, Simmered",Mild,Vegan,None,"Mild, Refreshing",Vegan
Mango Donut Cake Recipe With Chocolate Glaze,Fusion,Dessert,Vitamin Rich,"Baked, Glazed",Sweet,Vegetarian,Dairy,"Sweet, Fruity",Vegetarian
Matar Paneer Kachori Korma Recipe - Green Peas And Paneer Kachori Curry,Indian,Main,"Protein Rich, Carbohydrate Rich","Fried, Curried",Spicy,Vegetarian,Dairy,"Spicy, Creamy",None
Zucchini Roll Up Lasagne Recipe,Italian,Main,Vitamin Rich,Baked,Mild,Vegetarian,Dairy,"Cheesy, Savory",Vegetarian
Thengai Sadam Recipe (A Quick and Healthy Coconut Rice),Indian,Main,Fiber Rich,"Boiled, Mixed",Mild,Vegetarian,None,"Coconutty, Mild",Vegan
Karwar Style Ambade Udid Methi Recipe - Hog Plum Curry,Indian,Main,Fiber Rich,Stewed,Spicy,Vegetarian,None,"Tangy, Spicy",Vegan
Roasted Cauliflower Recipe,Western,Side,Vitamin Rich,Roasted,Mild,Vegetarian,None,"Nutty, Savory",Vegan
Pain Viennois,Vienna Bread Recipe,French,Bread,Carbohydrate Rich,Baked,Mild,Vegetarian,None,Variable
Crunchy Ginger Capsicum Rice Recipe,Asian,Main,Vitamin Rich,Stir-Fried,Spicy,Vegan,None,"Spicy, Aromatic",Vegan
Bengali Chirer Payesh / Poha Pudding Recipe With Nolen Gur,Indian,Dessert,"Carbohydrate Rich, Iron Rich","Boiled, Sweetened",Mild,Vegetarian,Dairy,"Sweet, Nutty",None
Shanghai Style Chap Nian Gao Recipes (Stir Fried Rice Cakes Recipes),Chinese,Main,Carbohydrate Rich,Stir-Fried,Mild,Vegetarian,None,"Sweet, Sticky",Vegan
White Pumpkin Mor Kuzhambu Recipe - Kerala Style White Pumpkin Curry,Indian,Main,Vitamin Rich,"Stewed, Curry",Mild,Vegetarian,None,"Tangy, Mild",Vegan
Paneer and Green Peas Paratha Recipe - Paneer and Green Peas Paratha Recipe,Indian,Bread,"Protein Rich, Fiber Rich","Stuffed, Grilled",Mild,Vegetarian,Dairy,"Savory, Nutty",Vegetarian
Elephant Yam Raita (Recipe In Hindi),Indian,Side,"Probiotic, Low Calorie","Mixed, Chilled",Mild,Vegetarian,Dairy,"Cooling, Mild",Vegetarian
Drunken Noodles Recipe - Drunken Noodles Recipe,Thai,Main,Carbohydrate Rich,Stir-Fried,Spicy,Vegan,None,"Spicy, Savory",Vegan
Chettinad Style Prawn Biryani Recipe,Indian,Main,Protein Rich,"Steamed, Fried",Spicy,Non-Veg,Seafood,"Spicy, Aromatic",None
Walnut and Flax Seed Trail Mix Recipe With Figs and Honey,Western,Snack,"Protein Rich, Omega-3 Rich","Mixed, Sweetened",Mild,Vegetarian,Nuts,"Sweet, Nutty",Vegetarian
Murgh Malaiwala Recipe - Chicken In Rich Creamy Gravy,Indian,Main,Protein Rich,"Stewed, Creamed",Mild,Non-Veg,Dairy,"Creamy, Mild",None
Paal Kesari Recipe - South Indian Style Milk Kesari,Indian,Dessert,"Protein Rich, Calcium Rich","Boiled, Sweetened",Mild,Vegetarian,Dairy,"Sweet, Creamy",None
Spicy Lemon Chicken Kebab Recipe,Middle Eastern,Appetizer,Protein Rich,Grilled,Spicy,Non-Veg,None,"Spicy, Tangy",None
Paneer Butter Masala Biryani Recipe - Layered Paneer Butter Masala Biryani Recipe,Indian,Main,"Protein Rich, Carbohydrate Rich","Layered, Baked",Spicy,Vegetarian,Dairy,"Spicy, Creamy",None
Gond Ke Ladoo Recipe - Edible Gum Ladoo,Indian,Dessert,Energy Rich,"Mixed, Shaped",Mild,Vegetarian,Nuts,"Sweet, Nutty",Vegetarian
Kobari Charu recipe - Kobbari Charu Recipe,Indian,Soup,Vitamin Rich,"Boiled, Simmered",Mild,Vegetarian,Coconut,"Mild, Nutty",Vegan
Basil Tincture Recipe (Or) - Herbal Drink From Basil,Italian,Beverage,"Medicinal, Aromatic",Infused,Mild,Vegan,None,"Aromatic, Herbal",Vegan
Carrot Corn Mayo Pancake Recipe With Sandwich Spread,Western,Breakfast,"Vitamin Rich, Protein Rich","Pancaked, Grilled",Mild,Vegetarian,Dairy,"Sweet, Savory",Vegetarian
Tamil Nadu Style Spicy Egg Fry Recipe,Indian,Main,Protein Rich,Fried,Spicy,Non-Veg,None,"Spicy, Aromatic",None
Chirer Dudh Puli Recipe - Bengali Style Baten Rice Dumpling Milk,Indian,Dessert,"Carbohydrate Rich, Calcium Rich","Boiled, Sweetened",Mild,Vegetarian,Dairy,"Sweet, Nutty",None
Waffle Broth Recipe - Puppet's Yamarinta Crovy,Fusion,Soup,Carbohydrate Rich,Boiled,Mild,Vegetarian,None,"Warm, Comforting",Vegetarian
Kashmiri Style Modur Pulao With Pomegranate Recipe,Indian,Main,Protein Rich,"Boiled, Mixed",Mild,Vegetarian,None,"Sweet, Savory",Vegan
North Indian Style Mushroom Matar Masala Recipe,Indian,Main,Protein Rich,"Curried, Stir-Fried",Spicy,Vegetarian,None,"Spicy, Aromatic",Vegan
Dhania Chole Masala Recipe - Chickpeas In Fresh Coriander Gravy,Indian,Main,"Protein Rich, Iron Rich","Curried, Stir-Fried",Spicy,Vegetarian,None,"Spicy, Aromatic",Vegan
Capsicum Masala Poriyal (Recipe in Hindi),Indian,Side,Vitamin Rich,Stir-Fried,Spicy,Vegetarian,None,"Spicy, Aromatic",Vegan
Kerala Style Raw Banana and Suran Kotu Curry Recipe - Kerala Style Plantain & Yam Thoran Recipe,Indian,Main,"Fiber Rich, Vitamin Rich","Stir-Fried, Curried",Spicy,Vegetarian,None,"Mild, Aromatic",Vegan
Cheese Stuffed Aloo Bonda Recipe,Indian,Snack,"Protein Rich, Calcium Rich",Deep-Fried,Spicy,Vegetarian,Dairy,"Cheesy, Spicy",Vegetarian
Dahi Wale Paneer Recipe - Paneer In A Curd Gravy,Indian,Main,"Protein Rich, Calcium Rich","Simmered, Curried",Mild,Vegetarian,Dairy,"Creamy, Tangy",Vegetarian
Nutty Aloo Paratha Recipe,Indian,Bread,"Protein Rich, Fiber Rich",Pan-Fried,Mild,Vegetarian,"Dairy, Nuts","Nutty, Savory",Vegetarian
Chicken Tikka Taco Recipe Topped With Cheesy Garlic Mayo,Fusion,Main,Protein Rich,"Grilled, Assembled",Spicy,Non-Veg,Dairy,"Spicy, Cheesy",None
Masalewali Turai Sabzi Recipe - Masalawali Turai Sabzi Recipe,Indian,Side,Vitamin Rich,Stir-Fried,Spicy,Vegetarian,None,"Spicy, Aromatic",Vegan
Pudina Mushroom And Soya Biryani Recipe,Indian,Main,"Protein Rich, Fiber Rich","Layered, Cooked",Spicy,Vegan,None,"Aromatic, Spicy",Vegan
White Vegetable Kurma Recipe With Coconut & Cashew,Indian,Main,"Vitamin Rich, Protein Rich","Curried, Stewed",Mild,Vegetarian,"Nuts, Coconut","Mild, Creamy",Vegetarian
Muttaikose Poriyal Recipe - Cabbage Stir fry With Coconut,Indian,Side,Vitamin Rich,Stir-Fried,Mild,Vegetarian,None,"Mild, Coconutty",Vegan
Bengaluru Style Brinjal Gravy Recipe - For Biryani,Indian,Main,"Vitamin Rich, Fiber Rich",Curried,Spicy,Vegetarian,None,"Spicy, Tangy",Vegan
PF Chang's Style Crispy Chicken Lettuce Wraps Recipe,Fusion,Appetizer,Protein Rich,"Stir-Fried, Assembled",Spicy,Non-Veg,None,"Spicy, Crunchy",None
Lemon Frozen Yogurt Recipe,Western,Dessert,Calcium Rich,"Frozen, Blended",Sweet,Vegetarian,Dairy,"Tangy, Refreshing",Vegetarian
Paneer Capsicum Sandwich Recipe,Indian,Snack,"Protein Rich, Vitamin Rich",Assembled,Mild,Vegetarian,Dairy,"Mild, Crunchy",Vegetarian
Dry Suran Masala Vegetable Recipe,Indian,Main,"Fiber Rich, Vitamin Rich",Stir-Fried,Spicy,Vegetarian,None,"Spicy, Aromatic",Vegan
One Pot Pressure Cooker Chicken Curry Recipe - One Pot Pressure Cooker Chicken Curry Recipe,Indian,Main,Protein Rich,Pressure Cooked,Spicy,Non-Veg,None,"Spicy, Aromatic",None
